name,wiki_uri,s,wikidata,wiki_name
J.W. Powell,[],https://hdl.handle.net/20.500.11840/pi63602,http://www.wikidata.org/entity/Q348325,"[rdflib.term.Literal('John Wesley Powell', lang='en'), rdflib.term.Literal('جون ويسلي باول', lang='ar'), rdflib.term.Literal('جون ويسلى باول', lang='arz'), rdflib.term.Literal('John Wesley Powell', lang='ast'), rdflib.term.Literal('John Wesley Powell', lang='avk'), rdflib.term.Literal('Джон Уэслі Паўэл', lang='be'), rdflib.term.Literal('Джон Уесли Пауъл', lang='bg'), rdflib.term.Literal('John Wesley Powell', lang='ca'), rdflib.term.Literal('John Wesley Powell', lang='cs'), rdflib.term.Literal('John Wesley Powell', lang='da'), rdflib.term.Literal('John Wesley Powell', lang='de'), rdflib.term.Literal('John Wesley Powell', lang='es'), rdflib.term.Literal('John Wesley Powell', lang='eu'), rdflib.term.Literal('جاون ویسلی پاول', lang='fa'), rdflib.term.Literal('John Wesley Powell', lang='fi'), rdflib.term.Literal('John Wesley Powell', lang='fr'), rdflib.term.Literal('John Wesley Powell', lang='ga'), rdflib.term.Literal(""ג'ון וסלי פאוול"", lang='he'), rdflib.term.Literal('John Wesley Powell', lang='hu'), rdflib.term.Literal('John Wesley Powell', lang='id'), rdflib.term.Literal('John Wesley Powell', lang='it'), rdflib.term.Literal('ジョン・ウェズリー・パウエル', lang='ja'), rdflib.term.Literal('ჯონ უესლი პაუელი', lang='ka'), rdflib.term.Literal('Ioannes Wesley Powell', lang='la'), rdflib.term.Literal('Džons Pauels', lang='lv'), rdflib.term.Literal('John Wesley Powell', lang='ms'), rdflib.term.Literal('John Wesley Powell', lang='nb'), rdflib.term.Literal('John Wesley Powell', lang='nl'), rdflib.term.Literal('John Wesley Powell', lang='nn'), rdflib.term.Literal('John Wesley Powell', lang='pap'), rdflib.term.Literal('John Wesley Powell', lang='pl'), rdflib.term.Literal('John Wesley Powell', lang='pt'), rdflib.term.Literal('John Wesley Powell', lang='pt-br'), rdflib.term.Literal('John Wesley Powell', lang='ro'), rdflib.term.Literal('Пауэлл, Джон Уэсли', lang='ru'), rdflib.term.Literal('John Wesley Powell', lang='sl'), rdflib.term.Literal('John Wesley Powell', lang='sq'), rdflib.term.Literal('John Wesley Powell', lang='sv'), rdflib.term.Literal('John Wesley Powell', lang='tl'), rdflib.term.Literal('约翰·威斯利·鲍威尔', lang='zh'), rdflib.term.Literal('约翰·威斯利·鲍威尔', lang='zh-cn'), rdflib.term.Literal('约翰·威斯利·鲍威尔', lang='zh-hans'), rdflib.term.Literal('約翰·威斯利·鮑威爾', lang='zh-hant'), rdflib.term.Literal('約翰·威斯利·鮑威爾', lang='zh-hk'), rdflib.term.Literal('约翰·威斯利·鲍威尔', lang='zh-sg'), rdflib.term.Literal('約翰·威斯利·鮑威爾', lang='zh-tw')]"
ea Press Information Bureau,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86739461')],https://hdl.handle.net/20.500.11840/pi63606,http://www.wikidata.org/entity/Q86739461,"[rdflib.term.Literal('ea Press Information Bureau', lang='en'), rdflib.term.Literal('ea Press Information Bureau', lang='nl'), rdflib.term.Literal('ea Press Information Bureau', lang='sq')]"
Magda Prins,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86739464')],https://hdl.handle.net/20.500.11840/pi63607,http://www.wikidata.org/entity/Q86739464,"[rdflib.term.Literal('Magda Prins', lang='ca'), rdflib.term.Literal('Magda Prins', lang='da'), rdflib.term.Literal('Magda Prins', lang='de'), rdflib.term.Literal('Magda Prins', lang='es'), rdflib.term.Literal('Magda Prins', lang='fr'), rdflib.term.Literal('Magda Prins', lang='it'), rdflib.term.Literal('Magda Prins', lang='pt'), rdflib.term.Literal('Magda Prins', lang='sv'), rdflib.term.Literal('Magda Prins', lang='pt-br'), rdflib.term.Literal('Magda Prins', lang='en'), rdflib.term.Literal('Magda Prins', lang='nl'), rdflib.term.Literal('Magda Prins', lang='sq')]"
Menado Que,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86739467')],https://hdl.handle.net/20.500.11840/pi63609,http://www.wikidata.org/entity/Q86739467,"[rdflib.term.Literal('Menado Que', lang='en'), rdflib.term.Literal('Menado Que', lang='nl'), rdflib.term.Literal('Menado Que', lang='sq')]"
Ragusa,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86819681')],https://hdl.handle.net/20.500.11840/pi63613,http://www.wikidata.org/entity/Q86819681,"[rdflib.term.Literal('Ragusa', lang='nl'), rdflib.term.Literal('Ragusa', lang='en'), rdflib.term.Literal('Ragusa', lang='sq')]"
R.H. Randolph,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86739413')],https://hdl.handle.net/20.500.11840/pi63618,http://www.wikidata.org/entity/Q86739413,"[rdflib.term.Literal('R.H. Randolph', lang='en'), rdflib.term.Literal('R.H. Randolph', lang='nl'), rdflib.term.Literal('R.H. Randolph', lang='sq')]"
Rastamy,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86819688')],https://hdl.handle.net/20.500.11840/pi63621,http://www.wikidata.org/entity/Q86819688,"[rdflib.term.Literal('Rastamy', lang='en'), rdflib.term.Literal('Rastamy', lang='nl')]"
Les Reed,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q443509'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q6529912'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q6529913'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q86739472')]",https://hdl.handle.net/20.500.11840/pi63624,http://www.wikidata.org/entity/Q86739472,"[rdflib.term.Literal('Les Reed', lang='en'), rdflib.term.Literal('Les Reed', lang='nl')]"
W. Hopkyn Rees,[],https://hdl.handle.net/20.500.11840/pi63626,http://www.wikidata.org/entity/Q86739474,[]
D. Rinkes,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86739477')],https://hdl.handle.net/20.500.11840/pi63649,http://www.wikidata.org/entity/Q86739477,"[rdflib.term.Literal('D. Rinkes', lang='en'), rdflib.term.Literal('D. Rinkes', lang='nl'), rdflib.term.Literal('D. Rinkes', lang='sq')]"
