name,wiki_uri
Prof. H.U.E. (Hendrik Ulbo Eric) Thoden van Velzen,[]
Dr. H.F. (Hendrik Freerk) Tillema,[]
Dhr. C.G. (Cornelis George) Vattier Kraane,[]
Dhr. M. (Mathijs) de Vreede,[]
Dr. P. (Paul) Wirz,[]
dr. A.N.J. Thomassen Ã  Thuessink van der Hoop,[]
Dr. Petrus Voorhoeve,[]
Prof. dr. J.W. Wolff,[]
dr. R.T. (Reiner Tom) Zuidema,[]
P.W.M. Trap,[]
Mr. C. Steinmetz,[]
Gerard Vissering,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q1847043')]
A.W. (Arnold Willem) Kort,[]
W.F. Winckel,[]
Somnath Hore,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q7560483')]
W.J. Tjohdiwa,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84499610')]
G.D. Gerunjung,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593253')]
Piet Ducro,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593343')]
Ilunga Beya,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593200')]
Ndaie Tb.,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594569')]
Louis Kalema,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593578')]
K.M. Kamba,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593581')]
Y. Ngoie,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593913')]
C. Mutombo,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594542')]
I. Kapenda,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593583')]
Luaba Tshimanga,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594376')]
Ludwig Borutta,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84498106')]
C. Citroen,[]
B.H.P. (Berthe Henrica Philippina) Hoola van Nooten,[]
Robert Lungupi,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593775')]
C. (Cornelis) Springer,[]
dhr. G.B.C. Voorduin,[]
Arie Kortenhoff,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82572591')]
Almighty God,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q55995621')]
N. (Nelly) ten Have,[]
Mevr. S.C. (Susanna Carolina) De Wildt  - de Bije,[]
dhr. J. Carpentier Alting,[]
Raden Mangkoe Miardjo,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593801')]
Walter Hood Fitch,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q1102060')]
Asmadi Danoekoesoema,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593172')]
Soeki Irodikromo,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q2648686')]
Flora Aulangot,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84498032')]
T. (Teunis) Kist,[]
Ida Bagus Gelgel,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82569907')]
I Gusti Made Deblog,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q78881683')]
I. Tomblos,[]
