 nmvw_obj,nmvw_prod_place,nmvw_actor,b_time,e_time,
 "https://hdl.handle.net/20.500.11840/181138" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181139" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181140" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181141" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181142" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181143" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181144" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181145" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181146" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181147" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181148" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181149" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181150" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181151" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181152" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181153" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181154" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181155" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181156" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181157" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181158" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181159" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181160" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181161" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181162" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181163" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181164" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181165" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181166" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181167" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181168" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181169" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181170" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181171" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181172" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181173" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181174" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181175" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181176" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181177" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181178" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181179" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181180" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181181" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181183" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181184" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181185" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181186" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181187" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181188" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181189" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181190" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181191" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181192" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181193" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181194" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181195" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181196" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181197" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181198" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181199" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181200" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181201" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181202" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181203" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181204" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181205" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181206" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
